DateTime,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,KING_
2021-09-07,3621.7099,3681.9254,3615.1444,3676.5866,54772187500.0,-1
2021-09-08,3673.4023,3695.3204,3660.9998,3675.1865,58643619300.0,0
2021-09-09,3666.8246,3693.4499,3662.1633,3693.1296,60481033000.0,0
2021-09-10,3691.1856,3722.8732,3681.6415,3703.1103,63520043300.0,0
2021-09-13,3699.2534,3716.8315,3692.8157,3715.3723,55748401900.0,0
2021-09-14,3709.6336,3723.8451,3655.6341,3662.6015,56495238600.0,0
2021-09-15,3651.1583,3677.5265,3638.3225,3656.2232,47497000100.0,0
2021-09-16,3664.841,3677.9198,3606.7276,3607.0922,54674147400.0,0
2021-09-17,3595.2715,3620.9575,3569.2707,3613.9663,51685021000.0,0
2021-09-22,3563.2074,3629.4539,3560.5033,3628.4897,47229605300.0,0
2021-09-23,3651.2661,3670.9542,3632.2822,3642.2204,53499548600.0,0
2021-09-24,3637.8677,3651.4294,3607.7919,3613.0673,50730477200.0,0
2021-09-27,3625.9597,3640.8077,3559.9154,3582.8307,51080279500.0,0
2021-09-28,3577.8859,3610.917,3568.8189,3602.2184,44416880700.0,0
2021-09-29,3573.5178,3573.5178,3518.0477,3536.2944,45251115100.0,0
2021-09-30,3541.9283,3572.4259,3541.9283,3568.1668,39562962600.0,0
2021-10-08,3609.0874,3612.5539,3571.7338,3592.1666,40716114800.0,0
2021-10-11,3600.3569,3614.6988,3586.7487,3591.7087,39436115900.0,0
2021-10-12,3581.2967,3583.6391,3515.1408,3546.9362,40539374800.0,0
2021-10-13,3543.4918,3569.1332,3515.6481,3561.7623,32505066700.0,0
2021-10-14,3555.1085,3569.6864,3547.182,3558.2795,29496919600.0,0
2021-10-15,3551.9874,3578.7661,3542.6932,3572.3662,32029298400.0,0
2021-10-18,3571.0482,3571.0482,3539.4779,3568.1379,34095061600.0,1
2021-10-19,3562.2955,3596.7875,3560.6221,3593.1533,33419765200.0,0
2021-10-20,3583.2364,3596.0499,3574.2957,3587.0009,34424500800.0,0
2021-10-21,3590.0496,3610.9602,3576.3547,3594.7831,35231086700.0,0
2021-10-22,3594.7457,3607.5776,3578.7602,3582.6036,35315720300.0,0
2021-10-25,3574.2631,3611.0908,3564.2059,3609.8626,32119681600.0,0
2021-10-26,3612.8332,3625.0156,3589.706,3597.6377,33727829100.0,0
2021-10-27,3589.8573,3589.8573,3553.1277,3562.3052,35062094000.0,-1
2021-10-28,3548.7021,3552.0419,3509.4872,3518.4166,37817166600.0,0
2021-10-29,3519.3276,3547.3361,3502.8013,3547.3361,35880937700.0,0
2021-11-01,3530.3963,3556.59,3519.2901,3544.4795,38225132500.0,0
2021-11-02,3543.3827,3559.0478,3477.664,3505.6283,41756317300.0,0
2021-11-03,3501.1051,3512.6089,3480.4877,3498.5368,30660766900.0,0
2021-11-04,3505.8944,3527.9517,3503.0059,3526.8657,31944082900.0,1
2021-11-05,3520.2073,3525.8723,3491.4565,3491.5677,35453356500.0,1
2021-11-08,3491.9709,3507.2744,3484.2399,3498.6308,29818372200.0,1
2021-11-09,3507.1075,3514.9512,3489.0431,3507.0018,28731598900.0,1
2021-11-10,3498.9445,3498.9445,3448.4378,3492.4616,30703070800.0,1
2021-11-11,3486.451,3534.1991,3482.8291,3532.7858,32208795700.0,0
2021-11-12,3534.1512,3543.648,3527.3896,3539.1002,30868335400.0,0
2021-11-15,3542.9034,3550.4438,3521.2924,3533.3026,31301761200.0,0
2021-11-16,3530.4575,3549.7654,3517.8065,3521.7867,31039990900.0,0
2021-11-17,3518.5646,3537.5125,3513.523,3537.3662,27673567100.0,0
