DateTime,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,CCI_
2014-10-08,2368.576,2382.794,2354.29,2382.794,20439732600.0,0
2014-10-09,2383.859,2391.348,2367.111,2389.371,23592001000.0,0
2014-10-10,2380.755,2386.277,2365.075,2374.54,22467112600.0,0
2014-10-13,2366.426,2366.862,2341.124,2366.009,20089931400.0,0
2014-10-14,2362.802,2380.515,2349.194,2359.475,19683141800.0,0
2014-10-15,2358.233,2374.808,2344.373,2373.67,20280491500.0,0
2014-10-16,2361.13,2389.675,2353.406,2356.499,24820116800.0,0
2014-10-17,2352.784,2360.597,2312.826,2341.184,21230096200.0,0
2014-10-20,2346.052,2357.509,2340.459,2356.728,16002230500.0,0
2014-10-21,2355.033,2361.653,2337.551,2339.657,16882828800.0,0
2014-10-22,2339.223,2352.124,2324.59,2326.553,15269842500.0,0
2014-10-23,2322.316,2329.927,2297.33,2302.418,16263630800.0,0
2014-10-24,2303.08,2314.875,2296.657,2302.28,13222528100.0,0
2014-10-27,2293.573,2293.644,2279.836,2290.437,13026156800.0,0
2014-10-28,2294.012,2338.278,2294.012,2337.871,17859035700.0,0
2014-10-29,2343.72,2381.643,2339.712,2373.03,26558868700.0,0
2014-10-30,2371.891,2397.256,2365.919,2391.076,29464594300.0,0
2014-10-31,2393.178,2423.596,2384.483,2420.178,32576352200.0,0
2014-11-03,2425.225,2436.785,2418.167,2430.032,29882123500.0,0
2014-11-04,2428.271,2435.223,2417.221,2430.677,30901303900.0,0
2014-11-05,2432.169,2434.363,2415.502,2419.254,26360665400.0,0
2014-11-06,2419.617,2426.89,2401.75,2425.864,22200508800.0,0
2014-11-07,2427.898,2454.423,2407.442,2418.171,29117224500.0,0
2014-11-10,2436.628,2474.156,2428.185,2473.673,30062820300.0,0
2014-11-11,2483.648,2508.623,2445.96,2469.673,41190406500.0,0
2014-11-12,2454.602,2494.917,2444.814,2494.476,25293385200.0,0
2014-11-13,2494.998,2507.743,2471.407,2485.606,29503705800.0,0
2014-11-14,2477.966,2481.025,2457.045,2478.824,22060761900.0,0
2014-11-17,2506.864,2508.767,2472.446,2474.009,21568780000.0,0
2014-11-18,2474.182,2477.052,2449.813,2456.366,20106257000.0,0
2014-11-19,2452.15,2461.491,2442.71,2450.986,18623577100.0,0
2014-11-20,2443.276,2458.319,2437.476,2452.66,16549521300.0,0
2014-11-21,2452.635,2488.201,2446.646,2486.791,21223977400.0,0
2014-11-24,2505.532,2546.746,2495.521,2532.879,36348583500.0,0
2014-11-25,2531.998,2568.381,2527.077,2567.597,31431557200.0,0
2014-11-26,2572.649,2605.07,2570.404,2604.345,33712724900.0,0
2014-11-27,2615.367,2631.399,2599.108,2630.486,36407571900.0,0
2014-11-28,2629.626,2683.18,2622.061,2682.835,46588003500.0,0
2014-12-01,2691.725,2720.743,2668.841,2680.155,44679174100.0,0
2014-12-02,2667.82,2777.372,2665.686,2763.545,43773338100.0,0
2014-12-03,2768.678,2824.179,2733.868,2779.525,56212028100.0,0
2014-12-04,2783.469,2900.508,2772.432,2899.456,53268771800.0,0
2014-12-05,2926.573,2978.029,2813.052,2937.647,64050029600.0,0
2014-12-08,2907.815,3041.657,2879.847,3020.258,58757089000.0,0
2014-12-09,2992.49,3091.324,2834.592,2856.269,77199837900.0,0
2014-12-10,2855.94,2946.707,2807.678,2940.006,51288691300.0,0
2014-12-11,2912.346,2965.675,2892.611,2925.743,48263273300.0,0
2014-12-12,2929.36,2962.51,2914.956,2938.173,40948081100.0,0
2014-12-15,2921.446,2960.227,2890.904,2953.421,40037169500.0,0
2014-12-16,2953.811,3021.897,2943.912,3021.518,45384272300.0,0
2014-12-17,3031.952,3076.599,2993.333,3061.02,54250317900.0,0
2014-12-18,3062.801,3089.791,3030.319,3057.521,43590495200.0,0
2014-12-19,3053.075,3117.527,3018.421,3108.596,52107351100.0,0
2014-12-22,3129.267,3189.867,3090.509,3127.445,67937191500.0,0
2014-12-23,3085.08,3136.838,3025.667,3032.612,43776240000.0,0
2014-12-24,3039.206,3050.507,2934.911,2972.532,37680524600.0,0
2014-12-25,2992.462,3073.345,2969.874,3072.536,37694777600.0,0
2014-12-26,3078.005,3164.155,3064.176,3157.603,46070093200.0,1
2014-12-29,3212.559,3223.86,3126.944,3168.016,51011143900.0,0
2014-12-30,3160.801,3190.299,3130.353,3165.815,39772532000.0,0
2014-12-31,3172.597,3239.357,3157.259,3234.677,40599852100.0,0
2015-01-05,3258.627,3369.281,3253.883,3350.519,53135239100.0,0
2015-01-06,3330.799,3394.224,3303.184,3351.446,50166169500.0,0
2015-01-07,3326.649,3374.896,3312.211,3373.954,39191888000.0,0
2015-01-08,3371.957,3381.566,3285.095,3293.456,37113117000.0,0
2015-01-09,3276.965,3404.834,3267.509,3285.412,41024087200.0,0
2015-01-12,3258.213,3275.185,3191.582,3229.316,32206467900.0,0
2015-01-13,3223.542,3259.386,3214.412,3235.301,23072575400.0,0
2015-01-14,3242.337,3268.483,3193.978,3222.437,24019074700.0,0
2015-01-15,3224.07,3337.084,3207.545,3336.455,28254624000.0,1
2015-01-16,3343.603,3400.318,3340.49,3376.495,33987675300.0,0
2015-01-19,3189.727,3262.207,3095.066,3116.351,40109878900.0,0
2015-01-20,3114.56,3190.245,3100.477,3173.052,35708081100.0,0
2015-01-21,3189.085,3337.004,3178.343,3323.611,41095602400.0,1
2015-01-22,3327.319,3352.384,3293.978,3343.344,35338296100.0,0
2015-01-23,3357.096,3406.786,3328.293,3351.764,36624924000.0,0
2015-01-26,3347.257,3384.798,3321.315,3383.182,31754100700.0,0
2015-01-27,3389.853,3390.216,3290.219,3352.96,37451755100.0,0
2015-01-28,3325.722,3354.802,3294.655,3305.738,30192709500.0,0
2015-01-29,3258.997,3286.786,3234.241,3262.305,27465861300.0,0
2015-01-30,3273.747,3288.503,3210.308,3210.363,25831254800.0,0
2015-02-02,3148.136,3175.134,3122.572,3128.3,25086162900.0,0
2015-02-03,3156.086,3207.935,3129.732,3204.907,24819216400.0,1
2015-02-04,3212.822,3238.982,3171.144,3174.126,24909808600.0,0
2015-02-05,3251.212,3251.212,3135.819,3136.531,30613930500.0,0
2015-02-06,3120.09,3129.539,3052.939,3075.907,24674966600.0,0
2015-02-09,3063.51,3119.034,3049.111,3095.124,20610838300.0,0
2015-02-10,3090.49,3142.099,3084.253,3141.593,19381713900.0,0
2015-02-11,3145.765,3166.421,3139.052,3157.704,17284009400.0,0
2015-02-12,3157.959,3181.766,3134.244,3173.416,19459230900.0,0
2015-02-13,3186.808,3237.159,3182.794,3203.827,26129043600.0,0
2015-02-16,3206.137,3228.846,3195.884,3222.363,22379742900.0,0
2015-02-17,3230.884,3255.725,3230.772,3246.906,22833262400.0,0
2015-02-25,3256.479,3257.223,3215.552,3228.843,23334809400.0,0
2015-02-26,3222.151,3300.616,3202.188,3298.359,30126387500.0,0
2015-02-27,3296.831,3324.546,3291.007,3310.303,29916371700.0,0
2015-03-02,3332.721,3336.76,3298.669,3336.285,34644567100.0,0
2015-03-03,3317.695,3317.695,3260.429,3263.052,38204461900.0,0
2015-03-04,3264.182,3286.588,3250.484,3279.533,29363952200.0,0
2015-03-05,3264.085,3266.638,3221.666,3248.476,32066358500.0,0
2015-03-06,3248.036,3266.933,3234.533,3241.187,28291579100.0,0
2015-03-09,3224.314,3307.702,3198.37,3302.408,32149544000.0,0
2015-03-10,3289.085,3309.915,3277.095,3286.068,28581757600.0,0
2015-03-11,3289.594,3325.054,3278.471,3290.9,28298553500.0,0
2015-03-12,3314.813,3360.054,3300.488,3349.323,35729510500.0,0
2015-03-13,3359.488,3391.255,3352.15,3372.911,32841015400.0,0
2015-03-16,3391.158,3449.305,3377.087,3449.305,39913243000.0,0
2015-03-17,3469.603,3504.123,3459.694,3502.847,52093950600.0,0
2015-03-18,3510.501,3577.662,3503.853,3577.301,54521714400.0,0
2015-03-19,3576.019,3600.684,3546.844,3582.271,53734661400.0,0
2015-03-20,3587.084,3632.338,3569.38,3617.318,51666166900.0,0
2015-03-23,3640.104,3688.249,3635.485,3687.728,53606283200.0,0
2015-03-24,3692.569,3715.873,3600.698,3691.41,63955466900.0,0
2015-03-25,3680.953,3693.151,3634.559,3660.727,52188634800.0,0
2015-03-26,3641.942,3707.318,3615.011,3682.095,48864720300.0,0
2015-03-27,3686.134,3710.477,3656.831,3691.096,40894516500.0,0
2015-03-30,3710.612,3795.935,3710.612,3786.568,56470235300.0,0
2015-03-31,3822.987,3835.567,3737.043,3747.899,56167603700.0,0
2015-04-01,3748.34,3817.082,3742.213,3810.294,44745831900.0,0
2015-04-02,3827.689,3835.451,3775.894,3825.784,47929967300.0,0
2015-04-03,3803.383,3864.405,3792.211,3863.929,47303331100.0,0
2015-04-07,3899.42,3961.666,3891.728,3961.378,57044753500.0,1
2015-04-08,3976.532,4000.22,3903.648,3994.811,61808541900.0,0
2015-04-09,4006.13,4016.396,3900.027,3957.534,58517682500.0,0
2015-04-10,3947.492,4040.348,3929.319,4034.31,48428361900.0,0
2015-04-13,4072.723,4128.072,4057.293,4121.715,58981422700.0,0
2015-04-14,4125.782,4168.346,4091.257,4135.565,61068354100.0,0
2015-04-15,4135.648,4175.494,4069.007,4084.163,61300581200.0,0
2015-04-16,4055.916,4195.305,4031.244,4194.823,55124295600.0,0
2015-04-17,4254.723,4317.223,4238.91,4287.296,70170620500.0,0
2015-04-20,4301.352,4356.001,4190.681,4217.077,85713280700.0,0
